Name :Malik Delacruz | Age: 38 | Age Category :ADULT_MEMBER | Activity Level :SWIMMER | Activity Form :ACTIVE | Year Price :1600.0
Name :Chadwick Osborne | Age: 18 | Age Category :ADULT_MEMBER | Activity Level :COMPETITOR | Activity Form :ACTIVE | Year Price :1600.0
Name :Alea Aguilar | Age: 42 | Age Category :ADULT_MEMBER | Activity Level :SWIMMER | Activity Form :ACTIVE | Year Price :1600.0
Name :Calista Conley | Age: 13 | Age Category :JUNIOR_MEMBER | Activity Level :COMPETITOR | Activity Form :ACTIVE | Year Price :1000.0
Name :Kay Rutledge | Age: 15 | Age Category :JUNIOR_MEMBER | Activity Level :SWIMMER | Activity Form :ACTIVE | Year Price :1000.0
Name :Geraldine Oneil | Age: 66 | Age Category :SENIOR_MEMBER | Activity Level :COMPETITOR | Activity Form :ACTIVE | Year Price :1200.0
Name :Colleen Le | Age: 52 | Age Category :ADULT_MEMBER | Activity Level :SWIMMER | Activity Form :ACTIVE | Year Price :1600.0
Name :Josephine Dudley | Age: 60 | Age Category :SENIOR_MEMBER | Activity Level :COMPETITOR | Activity Form :ACTIVE | Year Price :1200.0
Name :Rinah Lindsay | Age: 51 | Age Category :ADULT_MEMBER | Activity Level :SWIMMER | Activity Form :ACTIVE | Year Price :1600.0
Name :Hu Stanley | Age: 65 | Age Category :SENIOR_MEMBER | Activity Level :COMPETITOR | Activity Form :ACTIVE | Year Price :1200.0
Name :Amity Parker | Age: 20 | Age Category :ADULT_MEMBER | Activity Level :SWIMMER | Activity Form :ACTIVE | Year Price :1600.0
Name :Vaughan Ray | Age: 32 | Age Category :ADULT_MEMBER | Activity Level :COMPETITOR | Activity Form :ACTIVE | Year Price :1600.0
Name :Kyle Broflovski | Age: 32 | Age Category :ADULT_MEMBER | Activity Level :SWIMMER | Activity Form :ACTIVE | Year Price :1600.0
Name :Regina Hodge | Age: 32 | Age Category :ADULT_MEMBER | Activity Level :COMPETITOR | Activity Form :ACTIVE | Year Price :1600.0
Name :Lara Croft | Age: 58 | Age Category :ADULT_MEMBER | Activity Level :SWIMMER | Activity Form :ACTIVE | Year Price :1600.0
Name :Vivien Lara | Age: 58 | Age Category :ADULT_MEMBER | Activity Level :COMPETITOR | Activity Form :ACTIVE | Year Price :1600.0
Name :Beverly Foster | Age: 63 | Age Category :SENIOR_MEMBER | Activity Level :SWIMMER | Activity Form :PASSIVE | Year Price :500.0
Name :Arsenio Raymond | Age: 32 | Age Category :ADULT_MEMBER | Activity Level :COMPETITOR | Activity Form :ACTIVE | Year Price :1600.0
Name :Philip Walsh | Age: 40 | Age Category :ADULT_MEMBER | Activity Level :SWIMMER | Activity Form :ACTIVE | Year Price :1600.0
Name :Georgia Fields | Age: 58 | Age Category :ADULT_MEMBER | Activity Level :COMPETITOR | Activity Form :ACTIVE | Year Price :1600.0
Name :Regina King | Age: 50 | Age Category :ADULT_MEMBER | Activity Level :SWIMMER | Activity Form :ACTIVE | Year Price :1600.0
Name :Stacy Salinas | Age: 50 | Age Category :ADULT_MEMBER | Activity Level :COMPETITOR | Activity Form :ACTIVE | Year Price :1600.0
Name :Beverly Vaughan | Age: 64 | Age Category :SENIOR_MEMBER | Activity Level :SWIMMER | Activity Form :PASSIVE | Year Price :500.0
